"indicateurs","sexe","zones-géographiques","culture","Unit","Date","Value"
"Nombre d'exploitations d'Igname","Total","BENIN","Igname","Nombre","2019","220554"
"Nombre d'exploitations d'Igname","Total","ALIBORI","Igname","Nombre","2019","14729"
"Nombre d'exploitations d'Igname","Total","BANIKOARA","Igname","Nombre","2019","3973"
"Nombre d'exploitations d'Igname","Total","GOGOUNOU","Igname","Nombre","2019","5547"
"Nombre d'exploitations d'Igname","Total","KANDI","Igname","Nombre","2019","1122"
"Nombre d'exploitations d'Igname","Total","KARIMAMA","Igname","Nombre","2019","11"
"Nombre d'exploitations d'Igname","Total","MALANVILLE","Igname","Nombre","2019","11"
"Nombre d'exploitations d'Igname","Total","SEGBANA","Igname","Nombre","2019","4065"
"Nombre d'exploitations d'Igname","Total","ATACORA","Igname","Nombre","2019","50105"
"Nombre d'exploitations d'Igname","Total","BOUKOMBE","Igname","Nombre","2019","4220"
"Nombre d'exploitations d'Igname","Total","COBLY","Igname","Nombre","2019","4321"
"Nombre d'exploitations d'Igname","Total","KEROU","Igname","Nombre","2019","4575"
"Nombre d'exploitations d'Igname","Total","KOUANDE","Igname","Nombre","2019","9183"
"Nombre d'exploitations d'Igname","Total","MATERI","Igname","Nombre","2019","6358"
"Nombre d'exploitations d'Igname","Total","NATITINGOU","Igname","Nombre","2019","6718"
"Nombre d'exploitations d'Igname","Total","OUASSA-PEHUNCO","Igname","Nombre","2019","5481"
"Nombre d'exploitations d'Igname","Total","TANGUIETA","Igname","Nombre","2019","4484"
"Nombre d'exploitations d'Igname","Total","TOUCOUNTOUNA","Igname","Nombre","2019","4765"
"Nombre d'exploitations d'Igname","Total","ATLANTIQUE","Igname","Nombre","2019","565"
"Nombre d'exploitations d'Igname","Total","ABOMEY CALAVI","Igname","Nombre","2019","94"
"Nombre d'exploitations d'Igname","Total","ALLADA","Igname","Nombre","2019","166"
"Nombre d'exploitations d'Igname","Total","KPOMASSE","Igname","Nombre","2019","38"
"Nombre d'exploitations d'Igname","Total","OUIDAH","Igname","Nombre","2019","13"
"Nombre d'exploitations d'Igname","Total","SO AVA","Igname","Nombre","2019","7"
"Nombre d'exploitations d'Igname","Total","TOFFO","Igname","Nombre","2019","163"
"Nombre d'exploitations d'Igname","Total","TORI BOSSITO","Igname","Nombre","2019","39"
"Nombre d'exploitations d'Igname","Total","ZE","Igname","Nombre","2019","45"
"Nombre d'exploitations d'Igname","Total","BORGOU","Igname","Nombre","2019","64787"
"Nombre d'exploitations d'Igname","Total","BEMBEREKE","Igname","Nombre","2019","5422"
"Nombre d'exploitations d'Igname","Total","KALALE","Igname","Nombre","2019","13069"
"Nombre d'exploitations d'Igname","Total","NDALI","Igname","Nombre","2019","6469"
"Nombre d'exploitations d'Igname","Total","NIKKI","Igname","Nombre","2019","11381"
"Nombre d'exploitations d'Igname","Total","PARAKOU","Igname","Nombre","2019","1783"
"Nombre d'exploitations d'Igname","Total","PERERE","Igname","Nombre","2019","6926"
"Nombre d'exploitations d'Igname","Total","SINENDE","Igname","Nombre","2019","5092"
"Nombre d'exploitations d'Igname","Total","TCHAOUROU","Igname","Nombre","2019","14645"
"Nombre d'exploitations d'Igname","Total","COLLINES","Igname","Nombre","2019","33669"
"Nombre d'exploitations d'Igname","Total","BANTE","Igname","Nombre","2019","8443"
"Nombre d'exploitations d'Igname","Total","DASSA ZOUME","Igname","Nombre","2019","1632"
"Nombre d'exploitations d'Igname","Total","GLAZOUE","Igname","Nombre","2019","6663"
"Nombre d'exploitations d'Igname","Total","OUESSE","Igname","Nombre","2019","5269"
"Nombre d'exploitations d'Igname","Total","SAVALOU","Igname","Nombre","2019","8879"
"Nombre d'exploitations d'Igname","Total","SAVE","Igname","Nombre","2019","2783"
"Nombre d'exploitations d'Igname","Total","COUFFO","Igname","Nombre","2019","3577"
"Nombre d'exploitations d'Igname","Total","APLAHOUE","Igname","Nombre","2019","970"
"Nombre d'exploitations d'Igname","Total","DJAKOTOMEY","Igname","Nombre","2019","129"
"Nombre d'exploitations d'Igname","Total","DOGBO","Igname","Nombre","2019","496"
"Nombre d'exploitations d'Igname","Total","KLOUEKANMEY","Igname","Nombre","2019","119"
"Nombre d'exploitations d'Igname","Total","LALO","Igname","Nombre","2019","1748"
"Nombre d'exploitations d'Igname","Total","TOVIKLIN","Igname","Nombre","2019","115"
"Nombre d'exploitations d'Igname","Total","DONGA","Igname","Nombre","2019","41070"
"Nombre d'exploitations d'Igname","Total","BASSILA","Igname","Nombre","2019","8406"
"Nombre d'exploitations d'Igname","Total","COPARGO","Igname","Nombre","2019","6254"
"Nombre d'exploitations d'Igname","Total","DJOUGOU","Igname","Nombre","2019","20375"
"Nombre d'exploitations d'Igname","Total","OUAKE","Igname","Nombre","2019","6035"
"Nombre d'exploitations d'Igname","Total","LITTORAL","Igname","Nombre","2019","0"
"Nombre d'exploitations d'Igname","Total","COTONOU","Igname","Nombre","2019","0"
"Nombre d'exploitations d'Igname","Total","MONO","Igname","Nombre","2019","936"
"Nombre d'exploitations d'Igname","Total","ATHIEME","Igname","Nombre","2019","108"
"Nombre d'exploitations d'Igname","Total","BOPA","Igname","Nombre","2019","554"
"Nombre d'exploitations d'Igname","Total","COME","Igname","Nombre","2019","15"
"Nombre d'exploitations d'Igname","Total","GRAND POPO","Igname","Nombre","2019","11"
"Nombre d'exploitations d'Igname","Total","HOUEYOGBE","Igname","Nombre","2019","120"
"Nombre d'exploitations d'Igname","Total","LOKOSSA","Igname","Nombre","2019","128"
"Nombre d'exploitations d'Igname","Total","OUEME","Igname","Nombre","2019","507"
"Nombre d'exploitations d'Igname","Total","ADJARRA","Igname","Nombre","2019","12"
"Nombre d'exploitations d'Igname","Total","ADJOHOUN","Igname","Nombre","2019","70"
"Nombre d'exploitations d'Igname","Total","AGUEGUES","Igname","Nombre","2019","5"
"Nombre d'exploitations d'Igname","Total","AKPRO MISSERETE","Igname","Nombre","2019","73"
"Nombre d'exploitations d'Igname","Total","AVRANKOU","Igname","Nombre","2019","25"
"Nombre d'exploitations d'Igname","Total","BONOU","Igname","Nombre","2019","266"
"Nombre d'exploitations d'Igname","Total","DANGBO","Igname","Nombre","2019","21"
"Nombre d'exploitations d'Igname","Total","PORTO NOVO","Igname","Nombre","2019","1"
"Nombre d'exploitations d'Igname","Total","SEME PODJI","Igname","Nombre","2019","34"
"Nombre d'exploitations d'Igname","Total","PLATEAU","Igname","Nombre","2019","5962"
"Nombre d'exploitations d'Igname","Total","ADJA OUERE","Igname","Nombre","2019","1822"
"Nombre d'exploitations d'Igname","Total","IFANGNI","Igname","Nombre","2019","28"
"Nombre d'exploitations d'Igname","Total","KETOU","Igname","Nombre","2019","1396"
"Nombre d'exploitations d'Igname","Total","POBE","Igname","Nombre","2019","2347"
"Nombre d'exploitations d'Igname","Total","SAKETE","Igname","Nombre","2019","369"
"Nombre d'exploitations d'Igname","Total","ZOU","Igname","Nombre","2019","4647"
"Nombre d'exploitations d'Igname","Total","ABOMEY","Igname","Nombre","2019","116"
"Nombre d'exploitations d'Igname","Total","AGBANGNIZOUN","Igname","Nombre","2019","60"
"Nombre d'exploitations d'Igname","Total","BOHICON","Igname","Nombre","2019","55"
"Nombre d'exploitations d'Igname","Total","COVE","Igname","Nombre","2019","188"
"Nombre d'exploitations d'Igname","Total","DJIDJA","Igname","Nombre","2019","2012"
"Nombre d'exploitations d'Igname","Total","OUINHI","Igname","Nombre","2019","971"
"Nombre d'exploitations d'Igname","Total","ZAGNANADO","Igname","Nombre","2019","303"
"Nombre d'exploitations d'Igname","Total","ZA KPOTA","Igname","Nombre","2019","231"
"Nombre d'exploitations d'Igname","Total","ZOGBODOMEY","Igname","Nombre","2019","711"
"Nombre de producteurs d'Igname","Total","BENIN","Igname","Nombre","2019","313168"
"Nombre de producteurs d'Igname","Total","ALIBORI","Igname","Nombre","2019","20594"
"Nombre de producteurs d'Igname","Total","BANIKOARA","Igname","Nombre","2019","5769"
"Nombre de producteurs d'Igname","Total","GOGOUNOU","Igname","Nombre","2019","7778"
"Nombre de producteurs d'Igname","Total","KANDI","Igname","Nombre","2019","1686"
"Nombre de producteurs d'Igname","Total","KARIMAMA","Igname","Nombre","2019","11"
"Nombre de producteurs d'Igname","Total","MALANVILLE","Igname","Nombre","2019","26"
"Nombre de producteurs d'Igname","Total","SEGBANA","Igname","Nombre","2019","5324"
"Nombre de producteurs d'Igname","Total","ATACORA","Igname","Nombre","2019","71895"
"Nombre de producteurs d'Igname","Total","BOUKOMBE","Igname","Nombre","2019","5253"
"Nombre de producteurs d'Igname","Total","COBLY","Igname","Nombre","2019","4699"
"Nombre de producteurs d'Igname","Total","KEROU","Igname","Nombre","2019","8913"
"Nombre de producteurs d'Igname","Total","KOUANDE","Igname","Nombre","2019","14065"
"Nombre de producteurs d'Igname","Total","MATERI","Igname","Nombre","2019","8565"
"Nombre de producteurs d'Igname","Total","NATITINGOU","Igname","Nombre","2019","9609"
